"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"solveBlockPartition","16800","8151040876","485181","24.106"
"boxBoxNphase_Kernel","837","6350809913","7587586","18.782"
"prepareLostFoundPairs_Stage1","2487","4687747792","1884900","13.864"
"convexPlaneNphase_Kernel","811","3546108052","4372513","10.487"
"removeContactManagers_Stage3","1224","2324962550","1899479","6.876"
"solveStaticBlock","2100","1343956124","639979","3.975"
"removeContactManagers_Stage5","1224","1141723313","932780","3.377"
"contactConstraintBlockPrepareParallelLaunch","420","1137500320","2708334","3.364"
"computeAverageSolverBodyVelocity","2100","1131835687","538969","3.347"
"markActiveSlabPGS","2100","729418951","347342","2.157"
"prepareLostFoundPairs_Stage2","2487","534105049","214758","1.58"
"preIntegrationLaunch","420","440630384","1049119","1.303"
"propagateSolverBodyVelocity","1680","327792651","195114","0.969"
"constraintContactBlockPrePrepLaunch","420","281924381","671248","0.834"
"rigidSumInternalContactAndJointBatches2","420","275039608","654856","0.813"
"sphereNphase_Kernel","839","273489252","325970","0.809"
"removeContactManagers_Stage4","1224","222395594","181695","0.658"
"rigidSumInternalContactAndJointBatches1","420","155001525","369051","0.458"
"integrateCoreParallelLaunch","420","123783876","294723","0.366"
"propagateStaticSolverBodyVelocities","2100","104506129","49764","0.309"
"updateTransformCacheAndBoundArrayLaunch","420","102810296","244786","0.304"
"writebackBlocks","420","76373165","181840","0.226"
"computeFrozenAndUnfrozenHistogramLaunch","420","73425740","174823","0.217"
"removeContactManagers_Stage1","1224","54025446","44138","0.16"
"updateFrictionPatches","2487","52223929","20998","0.154"
"outputFrozenAndUnfrozenHistogram","420","44823574","106722","0.133"
"concludeBlocks","420","28557871","67994","0.084"
"constraint1DBlockPrePrepLaunch","420","20693077","49269","0.061"
"ZeroBodies","420","12134366","28891","0.036"
"removeContactManagers_Stage2","1224","11653258","9520","0.034"
"initStaticKinematics","420","11318859","26949","0.033"
"updateBodiesLaunch","394","10408288","26416","0.031"
"initializeManifolds","392","9712468","24776","0.029"
"updateChangedAABBMgrHandlesLaunch","420","5361907","12766","0.016"
"bpSignalComplete","840","4506067","5364","0.013"
"writeBackBodies","420","4393273","10460","0.013"
"createFrozenAndUnfrozenArray","420","3745272","8917","0.011"
"clearFrictionPatchCounts","420","2473754","5889","0.007"
"updateShapesLaunch","1","951992","951992","0.003"
"MemCopyBalanced","1","222400","222400","0.001"
"Total","52136","33813587029","648565","100.0"
