"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipStreamSynchronize","840","17680243183","21047908","88.1426989803591"
"hipModuleLaunchKernel","52136","500453645","9599","2.49495069317105"
"hipHostMalloc","61","474223097","7774149","2.36418149093083"
"hipMemcpyHtoDAsync","29414","437536302","14875","2.18128394281631"
"hipMemcpyDtoHAsync","18555","285816970","15403","1.42490569215766"
"hipModuleGetFunction","15317","157851782","10305","0.7869508332169"
"hipStreamWaitEvent","3780","110211036","29156","0.549443696555151"
"hipMemcpyDtoDAsync","14143","97458707","6890","0.48586851352677"
"hipMemsetD32Async","5471","84974150","15531","0.423628275190443"
"hipEventRecord","3781","67203263","17773","0.335033682500616"
"hipStreamQuery","4199","67087703","15977","0.334457572195529"
"hipMalloc","3","23454626","7818208","0.116930181209426"
"hipModuleLoadData","53","18466771","348429","0.0920638376149323"
"hipModuleUnload","53","15400667","290578","0.0767781495665727"
"hipMemsetD8Async","420","13947458","33208","0.0695333530942192"
"hipHostFree","61","7194069","117935","0.0358651547802601"
"hipCtxPopCurrent","15130","3695295","244","0.018422443145002"
"hipCtxPushCurrent","17255","3504087","203","0.0174691989496483"
"hipHostGetDevicePointer","7199","3115705","432","0.0155329677925845"
"hipEventCreate","1273","2867957","2252","0.0142978503136584"
"hipStreamDestroy","5","2001043","400208","0.00997595615457066"
"hipEventDestroy","1273","1335123","1048","0.00665609310192677"
"hipMemcpyHtoD","2","343030","171515","0.00171013428482165"
"hipFree","3","141330","47110","0.000704583501366773"
"hipCtxCreate","1","88810","88810","0.000442751438168705"
"hipStreamCreate","5","25190","5038","0.000125581676922302"
"hipEventSynchronize","1","6300","6300","3.1407882676082e-05"
"hipGetDeviceProperties","1","5900","5900","2.94137313950609e-05"
"hipCtxDestroy","1","1690","1690","8.42528916231406e-06"
"hipInit","1","1650","1650","8.22587403421195e-06"
"hipDeviceSynchronize","1","1430","1430","7.12909082965036e-06"
"hipDeviceGet","1","460","460","2.29327397317424e-06"
"hipDeviceGetStreamPriorityRange","1","300","300","1.49561346076581e-06"
"Total","190440","20058658729","105327","100.0"
